country,manufacturer,name,cpu,year
Czechoslovakia,Didaktik,Beta,Z80,1986
Czechoslovakia,Didaktik,Gama,Z80,1987
UK,Dragon Data,Dragon 32,6809,1982
UK,Dragon Data,Dragon 64,6809,1982
USSR,Dubna,Dubna 48K,Z80 (compatible),1991
USSR,Elektronika,BK-0010,PDP 11 (compatible),1985
USSR,AGAT,AGAT-9,Native/Apple II compatible,1984
Serbia,Elektronska Industrija Niš,Pecom 32,RCA 1802,1985
Serbia,Elektronska Industrija Niš,Pecom 64,RCA 1802,1985
USA,Exidy,Exidy Sorcerer,Z80,1978
UK,Intelligent Software,Enterprise 64,Z80,1985
UK,Intelligent Software,Enterprise 128,Z80,1985
Hong Kong,Lambda Electronics,Lambda 8300,Z80,1985
USA,Franklin Computer Corporation,Franklin ACE,6502,1982
Japan,Fujitsu,FM Towns,80386SX,1989
Japan,Fujitsu,FM-7,6809,1982
UK,Grundy Business Systems,Grundy NewBrain,Z80,1982
Brazil,Gradiente,Gradiente Expert,Z80,1985
USA,Honeywell,Honeywell 316,DDP 16 Minicomputer,1969
USA,IBM,PCjr,8088,1984
USA,IBM,IBM PS/1,8088,1990
USA,Interact,Interact Home Computer,8080,1979
USA,Intelligent Systems Corporation,Compucolor II,8080,1977
USSR,Intercompex,Hobbit,Z80 compatible,1990
USSR,Iskra,Iskra-1030,8086 compatible,1989
Croatia,Ivasim,Ivel Ultra,6502 compatible,1984
Croatia,Ivasim,Ivel Z3,6502 compatible,1983
UK,Jupiter Cantab,Jupiter ACE,Z80,1982
Sweden,Luxor,ABC 80,Z80,1978
USA,Mattel,Aquarius,Z80,1983
France,Matra,Matra Alice,6803,1983
UK,Memotech,MTX500,Z80,1983
UK,Memotech,MTX512,Z80,1983
UK,Memotech,RS128,Z80,1983
Australia,Microbee Systems,MicroBee,Z80,1983
Brazil,Comércio de Componentes Eletrônicos,CCE MC-1000,Z80,1985
Brazil,Microdigital Eletronica,TK82C,Z80,1985
UK,Miles Gordon Technology,SAM Coupé,Z80,1989
Taiwan,Multitech,Microprofessor III,6502,1983
Japan,NEC,NEC PC-100,8086,1983
Japan,NEC Home Electronics,PC-6000,Z80,1981
Japan,NEC,PC-8800,Z80,1981
USA,Radio Shack,TRS-80 Color Computer,6809,1980
USA,Radio Shack,TRS-80 Color Computer 2,6809,1980
USA,Radio Shack,TRS-80 Color Computer 3,6809,1980
USA,Radio Shack,TRS-80 Model I,Z80,1977
USA,Radio Shack,TRS-80 MC-10,6803,1983
USA,Radio Shack,Tandy 1000,8088,1987
Germany,Schneider Computer Division,Euro PC,8088,1988
UK,Tangerine Computer Systems,Oric 1,6502,1983
UK,Tangerine Computer Systems,Oric Atmos,6502,1984
UK,Tangerine Computer Systems,Oric Telestrat,6502,1986
Croatia,PEL Varaždin,Galeb,6502,1981
Croatia,PEL Varaždin,Orao,6502,1984
Netherlands,Philips,P2000,Z80,1980
Netherlands,Philips,G7480,Z80,1983
Netherlands,Philips,Philips :YES,80186,1985
Bulgaria,Pravetz,Pravetz 8,CM630 (6502 clone),1985
Bulgaria,Pravetz,Pravetz 8D,6502,1982
Bulgaria,Pravetz,IMKO-1,6502,1980
New Zealand,Progeni Systems / Polycorp,Poly-1,6809,1981
Brazil,Prológica,Prológica CP-400,6809,1984
East Germany,VEB Robotron,KC 85,Z80 compatible,1984
East Germany,VEB Robotron,KC 87,Z80 compatible,1987
East Germany,VEB Robotron,Z1013,Z80 compatible,1985
Japan,Sega,SC-3000,Z80 compatible,1983
Japan,Sharp,MZ,Z80 compatible,1979
Japan,Sharp,Sharp X1,Z80 compatible,1982
Japan,Sharp,Sharp X68000,68000,1987
UK,Sinclair Research,ZX80,Z80,1980
UK,Sinclair Research,ZX81,Z80,1981
UK,Sinclair Research,ZX Spectrum,Z80,1982
UK,Sinclair Research,Sinclair QL,68008,1984
Japan,Sord Computer Corporation,Sord M200 Smart Home Computer,Z80,1977
Japan,Sord Computer Corporation,Sord M5,Z80,1982
New Zealand,Technosys,Aamber Pegasus,6809,1984
USA,Texas Instruments,TI-99/4,TMS 9900,1979
USA,Texas Instruments,TI-99/4A,TMS 9900,1979
Czechoslovakia,Tesla,PMD 85,8080,1985
Czechoslovakia,Štátny majetok Závadka š.p.,MAŤO,8080,1989
France,Thomson,TO7,6809,1982
France,Thomson,MO5,6809,1984
"USA/UK/Portugal",Timex Sinclair,Timex Sinclair 1000,Z80,1982
"USA/UK/Portugal",Timex Sinclair,Timex Sinclair 1500,Z80,1982
"USA/UK/Portugal",Timex Sinclair,Timex Sinclair 2048,Z80,1984
Portugal,Timex Sinclair,Timex Computer 2048,Z80,1984
"USA/UK/Portugal",Timex Sinclair,Timex Computer 2068,Z80,1983
"Portugal/Poland",Timex Sinclair,Komputer 2086,Z80,1986
Japan,Tomy,Tomy Tutor,TMS 9900,1986
USSR,Vector,Vector-06C,8080 compatible,1987
USA,Videobrain,VideoBrain Family Computer,Fairchild F8,1977
Hungary,Videoton,TVC,Z80,1986
Norway,West Computer AS,West PC-800,"6502, Z80",1984
Belgium,GEM,GEM 1000,Z80,1985
